,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr_group
839,840,2011-02-07,1,2011,2,10,False,1,True,1,0.24,0.2576,0.75,0.1045,6,49,55,2
840,841,2011-02-07,1,2011,2,11,False,1,True,1,0.3,0.3182,0.65,0.0896,11,36,47,2
841,842,2011-02-07,1,2011,2,12,False,1,True,2,0.32,0.3485,0.62,0.0,7,59,66,2
842,843,2011-02-07,1,2011,2,13,False,1,True,2,0.36,0.3636,0.57,0.0896,10,54,64,3
843,844,2011-02-07,1,2011,2,14,False,1,True,2,0.36,0.3636,0.57,0.0896,8,52,60,3
844,845,2011-02-07,1,2011,2,15,False,1,True,2,0.38,0.3939,0.54,0.0896,4,46,50,3
845,846,2011-02-07,1,2011,2,16,False,1,True,2,0.36,0.3485,0.57,0.1343,16,98,114,3
846,847,2011-02-07,1,2011,2,17,False,1,True,2,0.32,0.3182,0.7,0.1642,9,207,216,3
847,848,2011-02-07,1,2011,2,18,False,1,True,2,0.34,0.3333,0.66,0.1343,5,170,175,3
848,849,2011-02-07,1,2011,2,19,False,1,True,2,0.32,0.3485,0.7,0.0,5,123,128,4
849,850,2011-02-07,1,2011,2,20,False,1,True,2,0.32,0.3333,0.7,0.1045,6,82,88,4
850,851,2011-02-07,1,2011,2,21,False,1,True,1,0.32,0.3485,0.7,0.0,3,75,78,4
851,852,2011-02-07,1,2011,2,22,False,1,True,1,0.28,0.303,0.81,0.0896,3,34,37,4
852,853,2011-02-07,1,2011,2,23,False,1,True,2,0.3,0.3333,0.81,0.0,6,19,25,4
853,854,2011-02-08,1,2011,2,0,False,2,True,2,0.28,0.3182,0.87,0.0,4,6,10,1
854,855,2011-02-08,1,2011,2,1,False,2,True,2,0.28,0.3182,0.87,0.0,0,4,4,1
855,856,2011-02-08,1,2011,2,2,False,2,True,2,0.26,0.2727,0.93,0.1045,1,1,2,1
856,857,2011-02-08,1,2011,2,3,False,2,True,3,0.28,0.2727,0.93,0.1642,0,1,1,1
857,858,2011-02-08,1,2011,2,4,False,2,True,1,0.26,0.2576,0.93,0.1642,0,3,3,1
858,859,2011-02-08,1,2011,2,5,False,2,True,1,0.26,0.2273,0.81,0.3284,0,2,2,1
859,860,2011-02-08,1,2011,2,6,False,2,True,1,0.26,0.2273,0.7,0.3284,0,39,39,1
860,861,2011-02-08,1,2011,2,7,False,2,True,1,0.24,0.197,0.65,0.4179,3,97,100,2
861,862,2011-02-08,1,2011,2,8,False,2,True,1,0.24,0.197,0.56,0.4925,7,236,243,2
862,863,2011-02-08,1,2011,2,9,False,2,True,1,0.24,0.197,0.52,0.4925,7,128,135,2
863,864,2011-02-08,1,2011,2,10,False,2,True,1,0.22,0.1818,0.47,0.5522,4,44,48,2
864,865,2011-02-08,1,2011,2,11,False,2,True,1,0.22,0.1818,0.47,0.4627,1,49,50,2
865,866,2011-02-08,1,2011,2,12,False,2,True,1,0.24,0.197,0.38,0.4925,2,63,65,2
866,867,2011-02-08,1,2011,2,13,False,2,True,2,0.24,0.197,0.32,0.4478,2,48,50,3
867,868,2011-02-08,1,2011,2,14,False,2,True,1,0.22,0.197,0.37,0.4179,3,61,64,3
868,869,2011-02-08,1,2011,2,15,False,2,True,1,0.22,0.197,0.35,0.3881,6,45,51,3
869,870,2011-02-08,1,2011,2,16,False,2,True,1,0.22,0.1818,0.35,0.5224,4,79,83,3
870,871,2011-02-08,1,2011,2,17,False,2,True,1,0.22,0.1818,0.32,0.5821,4,172,176,3
871,872,2011-02-08,1,2011,2,18,False,2,True,1,0.2,0.1818,0.32,0.3881,1,151,152,3
872,873,2011-02-08,1,2011,2,19,False,2,True,1,0.16,0.1212,0.4,0.4627,1,100,101,4
873,874,2011-02-08,1,2011,2,20,False,2,True,1,0.16,0.1364,0.4,0.3284,3,53,56,4
874,875,2011-02-08,1,2011,2,21,False,2,True,1,0.14,0.1061,0.33,0.4627,8,46,54,4
875,876,2011-02-08,1,2011,2,22,False,2,True,1,0.12,0.1061,0.33,0.3582,0,29,29,4
876,877,2011-02-08,1,2011,2,23,False,2,True,1,0.12,0.1061,0.33,0.3284,3,9,12,4
877,878,2011-02-09,1,2011,2,0,False,3,True,1,0.1,0.0758,0.36,0.3582,0,17,17,1
878,879,2011-02-09,1,2011,2,1,False,3,True,1,0.1,0.1061,0.36,0.2239,0,7,7,1
879,880,2011-02-09,1,2011,2,2,False,3,True,1,0.08,0.0758,0.38,0.2836,1,2,3,1
880,881,2011-02-09,1,2011,2,3,False,3,True,1,0.06,0.0758,0.45,0.1343,0,2,2,1
881,882,2011-02-09,1,2011,2,5,False,3,True,1,0.06,0.1061,0.45,0.1045,0,7,7,1
882,883,2011-02-09,1,2011,2,6,False,3,True,1,0.06,0.1515,0.45,0.0,0,43,43,1
883,884,2011-02-09,1,2011,2,7,False,3,True,1,0.06,0.1061,0.49,0.1045,4,95,99,2
884,885,2011-02-09,1,2011,2,8,False,3,True,1,0.1,0.1364,0.42,0.0,1,198,199,2
885,886,2011-02-09,1,2011,2,9,False,3,True,1,0.12,0.1364,0.39,0.1642,4,119,123,2
886,887,2011-02-09,1,2011,2,10,False,3,True,1,0.14,0.1818,0.36,0.0,8,51,59,2
887,888,2011-02-09,1,2011,2,11,False,3,True,2,0.14,0.1515,0.43,0.1642,1,40,41,2
888,889,2011-02-09,1,2011,2,12,False,3,True,2,0.18,0.1818,0.4,0.2239,4,57,61,2
889,890,2011-02-09,1,2011,2,13,False,3,True,1,0.18,0.1667,0.4,0.2537,2,67,69,3
890,891,2011-02-09,1,2011,2,14,False,3,True,1,0.2,0.1818,0.34,0.2985,2,56,58,3
891,892,2011-02-09,1,2011,2,15,False,3,True,2,0.2,0.1818,0.34,0.2836,3,61,64,3
892,893,2011-02-09,1,2011,2,16,False,3,True,2,0.2,0.197,0.37,0.2537,7,72,79,3
893,894,2011-02-09,1,2011,2,17,False,3,True,2,0.2,0.197,0.34,0.2537,9,157,166,3
894,895,2011-02-09,1,2011,2,18,False,3,True,2,0.18,0.1667,0.47,0.2985,2,168,170,3
895,896,2011-02-09,1,2011,2,19,False,3,True,3,0.14,0.1212,0.86,0.2537,1,87,88,4
896,897,2011-02-09,1,2011,2,20,False,3,True,3,0.14,0.1515,0.86,0.1642,0,84,84,4
897,898,2011-02-09,1,2011,2,21,False,3,True,2,0.14,0.1515,0.86,0.1642,0,83,83,4
898,899,2011-02-09,1,2011,2,22,False,3,True,3,0.16,0.1667,0.8,0.1642,4,42,46,4
899,900,2011-02-09,1,2011,2,23,False,3,True,3,0.16,0.1515,0.8,0.194,0,37,37,4
900,901,2011-02-10,1,2011,2,0,False,4,True,3,0.14,0.1364,0.86,0.194,0,16,16,1
901,902,2011-02-10,1,2011,2,1,False,4,True,3,0.14,0.1515,0.8,0.1343,0,7,7,1
902,903,2011-02-10,1,2011,2,2,False,4,True,3,0.14,0.1515,0.8,0.1343,0,3,3,1
903,904,2011-02-10,1,2011,2,4,False,4,True,2,0.14,0.1364,0.59,0.2239,0,1,1,1
904,905,2011-02-10,1,2011,2,5,False,4,True,2,0.12,0.1212,0.5,0.2239,0,6,6,1
905,906,2011-02-10,1,2011,2,6,False,4,True,2,0.12,0.1212,0.54,0.2836,0,26,26,1
906,907,2011-02-10,1,2011,2,7,False,4,True,1,0.1,0.0758,0.5,0.4179,0,99,99,2
907,908,2011-02-10,1,2011,2,8,False,4,True,1,0.1,0.0758,0.49,0.3284,5,173,178,2
908,909,2011-02-10,1,2011,2,9,False,4,True,1,0.12,0.1061,0.42,0.3582,1,121,122,2
909,910,2011-02-10,1,2011,2,10,False,4,True,1,0.12,0.1061,0.42,0.2985,1,34,35,2
910,911,2011-02-10,1,2011,2,11,False,4,True,1,0.14,0.1212,0.39,0.3582,1,44,45,2
911,912,2011-02-10,1,2011,2,12,False,4,True,1,0.16,0.1364,0.34,0.3881,4,65,69,2
912,913,2011-02-10,1,2011,2,13,False,4,True,1,0.18,0.1667,0.29,0.2985,3,59,62,3
913,914,2011-02-10,1,2011,2,14,False,4,True,1,0.2,0.1818,0.27,0.2836,6,42,48,3
914,915,2011-02-10,1,2011,2,15,False,4,True,1,0.2,0.197,0.25,0.2537,0,50,50,3
915,916,2011-02-10,1,2011,2,16,False,4,True,1,0.2,0.1818,0.27,0.2985,4,76,80,3
916,917,2011-02-10,1,2011,2,17,False,4,True,1,0.18,0.1818,0.26,0.194,6,159,165,3
917,918,2011-02-10,1,2011,2,18,False,4,True,1,0.16,0.1818,0.28,0.1343,3,157,160,3
918,919,2011-02-10,1,2011,2,19,False,4,True,1,0.14,0.1667,0.28,0.1045,2,110,112,4
919,920,2011-02-10,1,2011,2,20,False,4,True,1,0.14,0.1818,0.31,0.0896,4,93,97,4
920,921,2011-02-10,1,2011,2,21,False,4,True,1,0.14,0.2121,0.39,0.0,2,70,72,4
921,922,2011-02-10,1,2011,2,22,False,4,True,1,0.12,0.197,0.39,0.0,4,47,51,4
922,923,2011-02-10,1,2011,2,23,False,4,True,1,0.12,0.1515,0.42,0.1045,1,33,34,4
923,924,2011-02-11,1,2011,2,0,False,5,True,1,0.1,0.1364,0.49,0.1045,2,12,14,1
924,925,2011-02-11,1,2011,2,1,False,5,True,1,0.1,0.1364,0.54,0.0896,1,6,7,1
925,926,2011-02-11,1,2011,2,2,False,5,True,1,0.1,0.1364,0.54,0.0896,0,3,3,1
926,927,2011-02-11,1,2011,2,5,False,5,True,1,0.08,0.1212,0.63,0.0896,0,4,4,1
927,928,2011-02-11,1,2011,2,6,False,5,True,1,0.1,0.1818,0.68,0.0,1,23,24,1
928,929,2011-02-11,1,2011,2,7,False,5,True,1,0.08,0.1667,0.73,0.0,1,73,74,2
929,930,2011-02-11,1,2011,2,8,False,5,True,1,0.1,0.1212,0.74,0.1642,4,212,216,2
930,931,2011-02-11,1,2011,2,9,False,5,True,1,0.12,0.1212,0.74,0.2239,8,132,140,2
931,932,2011-02-11,1,2011,2,10,False,5,True,1,0.14,0.1364,0.69,0.194,5,39,44,2
932,933,2011-02-11,1,2011,2,11,False,5,True,1,0.22,0.2273,0.47,0.1343,12,52,64,2
933,934,2011-02-11,1,2011,2,12,False,5,True,1,0.22,0.2273,0.47,0.1343,7,64,71,2
934,935,2011-02-11,1,2011,2,13,False,5,True,1,0.24,0.2273,0.35,0.194,21,89,110,3
935,936,2011-02-11,1,2011,2,14,False,5,True,1,0.3,0.2879,0.26,0.2537,17,67,84,3
936,937,2011-02-11,1,2011,2,15,False,5,True,1,0.32,0.3182,0.21,0.1642,12,62,74,3
937,938,2011-02-11,1,2011,2,16,False,5,True,1,0.3,0.2879,0.28,0.194,14,111,125,3
938,939,2011-02-11,1,2011,2,17,False,5,True,1,0.3,0.3333,0.24,0.0,18,193,211,3
939,940,2011-02-11,1,2011,2,18,False,5,True,1,0.28,0.3182,0.28,0.0,9,165,174,3
940,941,2011-02-11,1,2011,2,19,False,5,True,1,0.26,0.303,0.33,0.0,7,94,101,4
941,942,2011-02-11,1,2011,2,20,False,5,True,1,0.22,0.2273,0.55,0.1343,2,61,63,4
942,943,2011-02-11,1,2011,2,21,False,5,True,1,0.2,0.2121,0.59,0.1343,1,46,47,4
943,944,2011-02-11,1,2011,2,22,False,5,True,1,0.2,0.2273,0.64,0.0896,2,41,43,4
944,945,2011-02-11,1,2011,2,23,False,5,True,1,0.18,0.2424,0.69,0.0,5,48,53,4
945,946,2011-02-12,1,2011,2,0,False,6,False,1,0.16,0.197,0.69,0.0896,3,27,30,1
946,947,2011-02-12,1,2011,2,1,False,6,False,1,0.14,0.2121,0.86,0.0,2,22,24,1
947,948,2011-02-12,1,2011,2,2,False,6,False,1,0.14,0.2121,0.8,0.0,2,13,15,1
948,949,2011-02-12,1,2011,2,3,False,6,False,1,0.12,0.197,0.8,0.0,3,7,10,1
949,950,2011-02-12,1,2011,2,4,False,6,False,1,0.12,0.1667,0.74,0.0896,0,4,4,1
950,951,2011-02-12,1,2011,2,5,False,6,False,1,0.12,0.1667,0.74,0.0896,0,1,1,1
951,952,2011-02-12,1,2011,2,6,False,6,False,1,0.12,0.1364,0.93,0.194,1,1,2,1
952,953,2011-02-12,1,2011,2,7,False,6,False,1,0.12,0.1515,0.8,0.1045,2,9,11,2
953,954,2011-02-12,1,2011,2,8,False,6,False,1,0.14,0.1515,0.86,0.1343,2,28,30,2
954,955,2011-02-12,1,2011,2,9,False,6,False,1,0.16,0.1818,0.64,0.1343,5,38,43,2
955,956,2011-02-12,1,2011,2,10,False,6,False,1,0.22,0.2121,0.41,0.2537,13,71,84,2
956,957,2011-02-12,1,2011,2,11,False,6,False,1,0.3,0.2727,0.28,0.3284,30,84,114,2
957,958,2011-02-12,1,2011,2,12,False,6,False,1,0.3,0.2727,0.39,0.4627,27,93,120,2
958,959,2011-02-12,1,2011,2,13,False,6,False,1,0.3,0.2727,0.39,0.4179,32,103,135,3
959,960,2011-02-12,1,2011,2,14,False,6,False,1,0.34,0.3182,0.31,0.2836,30,90,120,3
960,961,2011-02-12,1,2011,2,15,False,6,False,1,0.34,0.303,0.29,0.4179,47,127,174,3
961,962,2011-02-12,1,2011,2,16,False,6,False,1,0.34,0.303,0.29,0.4179,42,103,145,3
962,963,2011-02-12,1,2011,2,17,False,6,False,1,0.32,0.2879,0.31,0.5224,24,113,137,3
963,964,2011-02-12,1,2011,2,18,False,6,False,1,0.28,0.2576,0.38,0.3284,4,60,64,3
964,965,2011-02-12,1,2011,2,19,False,6,False,1,0.28,0.2727,0.38,0.1642,2,39,41,4
965,966,2011-02-12,1,2011,2,20,False,6,False,1,0.26,0.2576,0.41,0.2239,1,39,40,4
966,967,2011-02-12,1,2011,2,21,False,6,False,1,0.26,0.303,0.41,0.0,9,42,51,4
967,968,2011-02-12,1,2011,2,22,False,6,False,1,0.24,0.2576,0.44,0.0896,6,39,45,4
968,969,2011-02-12,1,2011,2,23,False,6,False,1,0.22,0.2273,0.51,0.1343,1,31,32,4
969,970,2011-02-13,1,2011,2,0,False,0,False,1,0.2,0.2273,0.64,0.1045,5,34,39,1
970,971,2011-02-13,1,2011,2,1,False,0,False,1,0.2,0.2273,0.59,0.0896,1,23,24,1
971,972,2011-02-13,1,2011,2,2,False,0,False,2,0.2,0.2273,0.75,0.0896,1,19,20,1
972,973,2011-02-13,1,2011,2,3,False,0,False,2,0.2,0.2273,0.69,0.1045,4,8,12,1
973,974,2011-02-13,1,2011,2,4,False,0,False,2,0.2,0.2121,0.69,0.1642,0,2,2,1
974,975,2011-02-13,1,2011,2,6,False,0,False,2,0.2,0.2121,0.69,0.1343,2,3,5,1
975,976,2011-02-13,1,2011,2,7,False,0,False,2,0.22,0.2727,0.55,0.0,0,3,3,2
976,977,2011-02-13,1,2011,2,8,False,0,False,2,0.22,0.2273,0.64,0.194,1,11,12,2
977,978,2011-02-13,1,2011,2,9,False,0,False,2,0.24,0.2273,0.6,0.2239,12,35,47,2
978,979,2011-02-13,1,2011,2,10,False,0,False,1,0.3,0.2727,0.45,0.3284,19,86,105,2
979,980,2011-02-13,1,2011,2,11,False,0,False,1,0.32,0.2879,0.39,0.4478,26,86,112,2
980,981,2011-02-13,1,2011,2,12,False,0,False,1,0.36,0.3182,0.32,0.4627,58,94,152,2
981,982,2011-02-13,1,2011,2,13,False,0,False,1,0.38,0.3939,0.29,0.3582,62,92,154,3
982,983,2011-02-13,1,2011,2,14,False,0,False,2,0.4,0.4091,0.3,0.4179,51,110,161,3
983,984,2011-02-13,1,2011,2,15,False,0,False,2,0.4,0.4091,0.3,0.2985,40,122,162,3
984,985,2011-02-13,1,2011,2,16,False,0,False,2,0.42,0.4242,0.28,0.3284,28,106,134,3
985,986,2011-02-13,1,2011,2,17,False,0,False,1,0.42,0.4242,0.28,0.3284,30,95,125,3
986,987,2011-02-13,1,2011,2,18,False,0,False,1,0.4,0.4091,0.32,0.2985,17,78,95,3
987,988,2011-02-13,1,2011,2,19,False,0,False,1,0.4,0.4091,0.35,0.2836,11,50,61,4
988,989,2011-02-13,1,2011,2,20,False,0,False,1,0.4,0.4091,0.35,0.3284,15,32,47,4
989,990,2011-02-13,1,2011,2,21,False,0,False,1,0.4,0.4091,0.35,0.3582,6,45,51,4
990,991,2011-02-13,1,2011,2,22,False,0,False,1,0.4,0.4091,0.35,0.2985,5,31,36,4
991,992,2011-02-13,1,2011,2,23,False,0,False,1,0.4,0.4091,0.35,0.3582,3,27,30,4
992,993,2011-02-14,1,2011,2,0,False,1,True,1,0.38,0.3939,0.37,0.3582,3,8,11,1
993,994,2011-02-14,1,2011,2,1,False,1,True,1,0.38,0.3939,0.37,0.3582,1,6,7,1
994,995,2011-02-14,1,2011,2,2,False,1,True,1,0.36,0.3333,0.4,0.2985,0,2,2,1
995,996,2011-02-14,1,2011,2,3,False,1,True,1,0.34,0.3182,0.46,0.2239,1,1,2,1
996,997,2011-02-14,1,2011,2,4,False,1,True,1,0.32,0.303,0.53,0.2836,0,2,2,1
997,998,2011-02-14,1,2011,2,5,False,1,True,1,0.32,0.303,0.53,0.2836,0,3,3,1
998,999,2011-02-14,1,2011,2,6,False,1,True,1,0.34,0.303,0.46,0.2985,1,25,26,1
999,1000,2011-02-14,1,2011,2,7,False,1,True,1,0.34,0.303,0.46,0.2985,2,96,98,2
1000,1001,2011-02-14,1,2011,2,8,False,1,True,1,0.38,0.3939,0.4,0.4627,7,249,256,2
1001,1002,2011-02-14,1,2011,2,9,False,1,True,1,0.4,0.4091,0.37,0.3881,8,122,130,2
1002,1003,2011-02-14,1,2011,2,10,False,1,True,1,0.44,0.4394,0.33,0.2239,9,46,55,2
1003,1004,2011-02-14,1,2011,2,11,False,1,True,1,0.52,0.5,0.23,0.2537,10,43,53,2
1004,1005,2011-02-14,1,2011,2,12,False,1,True,1,0.56,0.5303,0.22,0.4478,27,99,126,2
1005,1006,2011-02-14,1,2011,2,13,False,1,True,1,0.58,0.5455,0.19,0.3881,27,93,120,3
1006,1007,2011-02-14,1,2011,2,14,False,1,True,1,0.6,0.5909,0.15,0.4925,14,76,90,3
1007,1008,2011-02-14,1,2011,2,15,False,1,True,1,0.56,0.5303,0.21,0.6567,19,71,90,3
1008,1009,2011-02-14,1,2011,2,16,False,1,True,1,0.52,0.5,0.27,0.4627,16,102,118,3
1009,1010,2011-02-14,1,2011,2,17,False,1,True,1,0.46,0.4545,0.33,0.6119,25,218,243,3
1010,1011,2011-02-14,1,2011,2,18,False,1,True,1,0.4,0.4091,0.4,0.6119,11,194,205,3
1011,1012,2011-02-14,1,2011,2,19,False,1,True,1,0.38,0.3939,0.43,0.4925,12,86,98,4
1012,1013,2011-02-14,1,2011,2,20,False,1,True,1,0.36,0.3182,0.46,0.4627,5,65,70,4
1013,1014,2011-02-14,1,2011,2,21,False,1,True,1,0.36,0.3182,0.5,0.5224,8,35,43,4
1014,1015,2011-02-14,1,2011,2,22,False,1,True,1,0.34,0.2879,0.46,0.6567,1,44,45,4
1015,1016,2011-02-14,1,2011,2,23,False,1,True,1,0.32,0.2879,0.49,0.4925,1,19,20,4
1016,1017,2011-02-15,1,2011,2,0,False,2,True,1,0.3,0.2727,0.49,0.4179,7,12,19,1
1017,1018,2011-02-15,1,2011,2,1,False,2,True,1,0.3,0.2424,0.42,0.7761,0,5,5,1
1018,1019,2011-02-15,1,2011,2,2,False,2,True,1,0.28,0.2273,0.41,0.6866,1,2,3,1
1019,1020,2011-02-15,1,2011,2,4,False,2,True,1,0.22,0.1818,0.37,0.5224,0,1,1,1
1020,1021,2011-02-15,1,2011,2,5,False,2,True,1,0.22,0.1818,0.32,0.4627,0,4,4,1
1021,1022,2011-02-15,1,2011,2,6,False,2,True,1,0.2,0.1818,0.32,0.3284,0,30,30,1
1022,1023,2011-02-15,1,2011,2,7,False,2,True,1,0.2,0.1818,0.32,0.3582,2,103,105,2
1023,1024,2011-02-15,1,2011,2,8,False,2,True,1,0.2,0.1818,0.32,0.3582,10,213,223,2
1024,1025,2011-02-15,1,2011,2,9,False,2,True,1,0.22,0.197,0.29,0.4478,2,108,110,2
1025,1026,2011-02-15,1,2011,2,10,False,2,True,1,0.24,0.2121,0.27,0.2836,5,47,52,2
1026,1027,2011-02-15,1,2011,2,11,False,2,True,1,0.26,0.2424,0.25,0.2537,11,46,57,2
1027,1028,2011-02-15,1,2011,2,12,False,2,True,1,0.28,0.2727,0.24,0.2537,6,65,71,2
1028,1029,2011-02-15,1,2011,2,13,False,2,True,1,0.32,0.303,0.21,0.2239,14,68,82,3
1029,1030,2011-02-15,1,2011,2,14,False,2,True,1,0.34,0.3182,0.19,0.2239,10,69,79,3
1030,1031,2011-02-15,1,2011,2,15,False,2,True,1,0.34,0.3333,0.19,0.1642,11,74,85,3
1031,1032,2011-02-15,1,2011,2,16,False,2,True,1,0.34,0.3182,0.19,0.2537,21,77,98,3
1032,1033,2011-02-15,1,2011,2,17,False,2,True,1,0.32,0.303,0.22,0.2239,15,191,206,3
1033,1034,2011-02-15,1,2011,2,18,False,2,True,1,0.3,0.303,0.22,0.1343,14,198,212,3
1034,1035,2011-02-15,1,2011,2,19,False,2,True,1,0.28,0.2879,0.26,0.1343,3,142,145,4
1035,1036,2011-02-15,1,2011,2,20,False,2,True,1,0.26,0.2727,0.33,0.1045,3,98,101,4
1036,1037,2011-02-15,1,2011,2,21,False,2,True,1,0.24,0.2879,0.52,0.0,5,61,66,4
1037,1038,2011-02-15,1,2011,2,22,False,2,True,1,0.24,0.2879,0.44,0.0,0,41,41,4
1038,1039,2011-02-15,1,2011,2,23,False,2,True,2,0.22,0.2576,0.44,0.0896,0,20,20,4
1039,1040,2011-02-16,1,2011,2,0,False,3,True,1,0.22,0.2576,0.41,0.0896,0,15,15,1
1040,1041,2011-02-16,1,2011,2,1,False,3,True,1,0.2,0.2273,0.44,0.0896,0,9,9,1
1041,1042,2011-02-16,1,2011,2,3,False,3,True,2,0.2,0.197,0.47,0.194,0,1,1,1
1042,1043,2011-02-16,1,2011,2,4,False,3,True,1,0.2,0.197,0.51,0.194,0,1,1,1
1043,1044,2011-02-16,1,2011,2,5,False,3,True,1,0.2,0.197,0.47,0.194,0,5,5,1
1044,1045,2011-02-16,1,2011,2,6,False,3,True,1,0.2,0.197,0.55,0.2239,1,32,33,1
1045,1046,2011-02-16,1,2011,2,7,False,3,True,2,0.2,0.197,0.55,0.2239,5,103,108,2
1046,1047,2011-02-16,1,2011,2,8,False,3,True,2,0.22,0.2273,0.55,0.1642,6,224,230,2
1047,1048,2011-02-16,1,2011,2,9,False,3,True,1,0.24,0.2121,0.52,0.2836,2,122,124,2
1048,1049,2011-02-16,1,2011,2,10,False,3,True,1,0.26,0.2273,0.41,0.3881,14,55,69,2
1049,1050,2011-02-16,1,2011,2,11,False,3,True,1,0.34,0.303,0.34,0.2985,7,59,66,2
1050,1051,2011-02-16,1,2011,2,12,False,3,True,1,0.38,0.3939,0.32,0.3284,14,72,86,2
1051,1052,2011-02-16,1,2011,2,13,False,3,True,1,0.42,0.4242,0.3,0.3582,13,80,93,3
1052,1053,2011-02-16,1,2011,2,14,False,3,True,1,0.46,0.4545,0.28,0.4179,17,65,82,3
1053,1054,2011-02-16,1,2011,2,15,False,3,True,1,0.46,0.4545,0.28,0.4179,35,82,117,3
1054,1055,2011-02-16,1,2011,2,16,False,3,True,1,0.46,0.4545,0.31,0.3881,26,96,122,3
1055,1056,2011-02-16,1,2011,2,17,False,3,True,1,0.46,0.4545,0.28,0.2836,11,244,255,3
1056,1057,2011-02-16,1,2011,2,18,False,3,True,1,0.4,0.4091,0.4,0.2239,20,202,222,3
1057,1058,2011-02-16,1,2011,2,19,False,3,True,1,0.34,0.3182,0.53,0.2239,18,143,161,4
1058,1059,2011-02-16,1,2011,2,20,False,3,True,1,0.38,0.3939,0.43,0.194,10,108,118,4
1059,1060,2011-02-16,1,2011,2,21,False,3,True,1,0.36,0.3485,0.46,0.194,5,87,92,4
1060,1061,2011-02-16,1,2011,2,22,False,3,True,1,0.34,0.3333,0.53,0.194,12,61,73,4
1061,1062,2011-02-16,1,2011,2,23,False,3,True,1,0.38,0.3939,0.4,0.2239,2,31,33,4
1062,1063,2011-02-17,1,2011,2,0,False,4,True,1,0.34,0.3333,0.53,0.194,1,16,17,1
1063,1064,2011-02-17,1,2011,2,1,False,4,True,1,0.34,0.3182,0.53,0.2239,0,6,6,1
1064,1065,2011-02-17,1,2011,2,2,False,4,True,2,0.34,0.3182,0.53,0.2239,2,4,6,1
1065,1066,2011-02-17,1,2011,2,3,False,4,True,1,0.34,0.3333,0.53,0.194,3,1,4,1
1066,1067,2011-02-17,1,2011,2,4,False,4,True,1,0.32,0.3182,0.57,0.194,3,1,4,1
1067,1068,2011-02-17,1,2011,2,5,False,4,True,1,0.32,0.3333,0.66,0.0896,1,11,12,1
1068,1069,2011-02-17,1,2011,2,6,False,4,True,1,0.3,0.303,0.7,0.1343,3,44,47,1
1069,1070,2011-02-17,1,2011,2,7,False,4,True,1,0.32,0.3333,0.57,0.1045,7,119,126,2
1070,1071,2011-02-17,1,2011,2,8,False,4,True,1,0.32,0.3333,0.57,0.0896,18,267,285,2
1071,1072,2011-02-17,1,2011,2,9,False,4,True,1,0.36,0.3485,0.57,0.194,16,163,179,2
1072,1073,2011-02-17,1,2011,2,10,False,4,True,1,0.38,0.3939,0.54,0.194,18,70,88,2
1073,1074,2011-02-17,1,2011,2,11,False,4,True,2,0.44,0.4394,0.44,0.2537,19,71,90,2
1074,1075,2011-02-17,1,2011,2,12,False,4,True,1,0.48,0.4697,0.41,0.2239,15,86,101,2
1075,1076,2011-02-17,1,2011,2,13,False,4,True,1,0.54,0.5152,0.34,0.2239,15,108,123,3
1076,1077,2011-02-17,1,2011,2,14,False,4,True,1,0.6,0.6212,0.31,0.2239,26,55,81,3
1077,1078,2011-02-17,1,2011,2,15,False,4,True,1,0.6,0.6061,0.28,0.2537,15,91,106,3
1078,1079,2011-02-17,1,2011,2,16,False,4,True,2,0.56,0.5303,0.35,0.2985,29,117,146,3
1079,1080,2011-02-17,1,2011,2,17,False,4,True,2,0.58,0.5455,0.32,0.2985,18,256,274,3
1080,1081,2011-02-17,1,2011,2,18,False,4,True,2,0.54,0.5152,0.42,0.2836,11,211,222,3
1081,1082,2011-02-17,1,2011,2,19,False,4,True,1,0.48,0.4697,0.55,0.3284,14,161,175,4
1082,1083,2011-02-17,1,2011,2,20,False,4,True,1,0.48,0.4697,0.59,0.3284,8,131,139,4
1083,1084,2011-02-17,1,2011,2,21,False,4,True,1,0.52,0.5,0.55,0.3881,5,119,124,4
1084,1085,2011-02-17,1,2011,2,22,False,4,True,1,0.5,0.4848,0.59,0.2836,8,68,76,4
1085,1086,2011-02-17,1,2011,2,23,False,4,True,1,0.46,0.4545,0.67,0.2985,4,40,44,4
1086,1087,2011-02-18,1,2011,2,0,False,5,True,1,0.44,0.4394,0.72,0.2836,12,20,32,1
1087,1088,2011-02-18,1,2011,2,1,False,5,True,1,0.44,0.4394,0.72,0.2239,1,7,8,1
1088,1089,2011-02-18,1,2011,2,2,False,5,True,1,0.44,0.4394,0.72,0.2836,2,5,7,1
1089,1090,2011-02-18,1,2011,2,3,False,5,True,1,0.46,0.4545,0.67,0.2537,2,6,8,1
1090,1091,2011-02-18,1,2011,2,4,False,5,True,1,0.46,0.4545,0.67,0.2537,0,1,1,1
1091,1092,2011-02-18,1,2011,2,5,False,5,True,2,0.46,0.4545,0.67,0.1045,1,6,7,1
1092,1093,2011-02-18,1,2011,2,6,False,5,True,2,0.44,0.4394,0.72,0.1642,2,48,50,1
1093,1094,2011-02-18,1,2011,2,7,False,5,True,2,0.42,0.4242,0.77,0.2239,8,108,116,2
